"","submission_id","age","comments","education","experiment_duration","experiment_end_time","experiment_start_time","gender","metaphor","speaker","languages","options","prolific_pid","prolific_session_id","prolific_study_id","qud","question","rating","solution","reliability","affiliation"
"1",5204,85,"","Graduated College",187495,1675356270107,1675356082612,"male","virus","short vignette","English",NA,"63c9fd72104f2f9bdc6b1fcc","63dbe79b0bffbf294a13419e","63dbcb938be3d3d1cb0dacfc",NA,NA,NA,"Enforce strict regulations","4","Republican"
"2",5206,53,"","Graduated High-school",124786,1675356279505,1675356154719,"female","virus","long vignette","English",NA,"5e83a35304f8a80a13ac590e","63dbe7f678dcbed5b66315eb","63dbcb938be3d3d1cb0dacfc",NA,NA,NA,"They need a stronger police force and heavy punishment for law breakers. The sheriff ought to deputize the citizens and issue more pistol permits for self defense. Citizens could also form neighborhood watch programs.","6","neither"
"3",5203,76,"","Graduated High-school",263860,1675356268217,1675356004357,"male","beast","long vignette","English",NA,"63d1520c5f3acac26bb4509c","63dbe759011d17be2943d18c","63dbcb938be3d3d1cb0dacfc",NA,NA,NA,"Public relations campaign addressing the situation. More police and tougher sentences from the justice system.","3","Republican"
"4",5205,27,"","Higher degree",132323,1675356273788,1675356141465,"male","beast","long vignette","English",NA,"63b75b75d69b669e44d7f318","63dbe7e9c8f2773254b3a226","63dbcb938be3d3d1cb0dacfc",NA,NA,NA,"Have a greater police force that is more active all the time so that they are able to stop crime before it happens.","6","Democrat"
"5",5216,66,"","Higher degree",355882,1675356785972,1675356430090,"male","virus","short vignette","English",NA,"63d3ea0b0f01a1c783c10f16","63dbe7f65d0f5d0e2a0fad6e","63dbcb938be3d3d1cb0dacfc",NA,NA,NA,"From the write up Addison was once peaceful
Over the past 3 years, crime has been plaguing every neighborhood
Firstly, they need to identify the root cause of the crime over the past three years.
What actually changed? 
Most time unemployment is the root cause.
When people are idle, the tend to have room for negativity.
First, identify the problem before applying means to reduce the crime.","2","rather not say"
"6",5221,22,"","Graduated College",151412,1675358269401,1675358117989,"male","virus","short vignette","",NA,"6294fc5023a8698296cbf7b0","63dbef9fcf7662d885a2f6e2","63dbcb938be3d3d1cb0dacfc",NA,NA,NA,"It needs a better healthcare system.","4","Democrat"
"7",5208,22,"","Graduated High-school",190844,1675356304599,1675356113755,"female","virus","short vignette","English",NA,"5e5dba9e3d60470d71dde9ef","63dbe7c691f1c1c32d6d762b","63dbcb938be3d3d1cb0dacfc",NA,NA,NA,"Addison can find ways to protest with others or try to talk to local political leaders.","7","Democrat"
"8",5210,46,"","Graduated College",471996,1675356365105,1675355893109,"male","beast","long vignette","",NA,"63d7ecf94df9f854d75ea63a","63dbe6cf87e8c92b4defa14f","63dbcb938be3d3d1cb0dacfc",NA,NA,NA,"Address the psychology of the citizens before they become adults. If children learn the importance of morals from stable home, friends and mentors, crime numbers over time should improve. ","3","Democrat"
"9",5211,28,"Would be good to see what kind of budget would be available for this issue.","Graduated College",235559,1675356369276,1675356133717,"male","virus","long vignette","English",NA,"6294e3dd871a695346c5d97a","63dbe7cc3b0ccb3e090dad3b","63dbcb938be3d3d1cb0dacfc",NA,NA,NA,"Realistically, a break down of blocks or wards would need to be done. From there the city would be able to see what the demographics of an area would be. Comparing those results with the suspects and arrested perpetrators would glean an essence of what parts of the city need more police activity (regardless of race of criminals), more neighborhood watch groups, and more security systems installed. City cameras (CCTV) and citizen's home/business owned cameras.","7","Republican"
"10",5268,37,"","Higher degree",54427,1678639431805,1678639377378,"male","beast","unreliable","French.",NA,"","","",NA,NA,NA,"More police.","4","neither"
