"","submission_id","age","comments","education","experiment_duration","experiment_end_time","experiment_start_time","gender","metaphor","speaker","languages","prolific_pid","prolific_session_id","prolific_study_id","solution","reliability","affiliation"
"1",5291,33,"","Graduated College",49036,1679404673739,1679404624703,"male","beast","unreliable","English","63ed368131249e47a4661f23","6419ae4714693c4b98eb04a9","6419aa88c17f2fd3af1504ac","Hire more police","3","Republican"
"2",5296,27,"","Graduated College",57095,1679405413544,1679405356449,"female","beast","unreliable","English","60a6c78720fb46c16a21ab1e","6419b12824de203c1e04584a","6419aa88c17f2fd3af1504ac","It needs to fix whatever systemic issues it has causing the crime to increase.","2","neither"
"3",5298,33,"","Graduated College",106746,1679405543621,1679405436875,"male","virus","unreliable","English","5b60c3376a4e130001513128","6419b177355841cbad119729","6419aa88c17f2fd3af1504ac","Support social programs and initiatives that get people out of bad situations, poverty, addiction, etc. He can also join his local neighborhood watch, if one exists, or look to form one if it does not.","4","neither"
"4",5292,22,"","Graduated College",145780,1679404791748,1679404645968,"female","virus","unreliable","English","60fd9174283e5345ad7fb00c","6419ae606a54bff3ef67d210","6419aa88c17f2fd3af1504ac","Locate the root source of the crime, and initiate public programs to target these sources. For example, if drug use is prevalent in a community, start outreach programs that target users before they begin, or help addicts safely get clean and sober. For violent crimes, increase the level of punishment in order to deter others from committing the same crime.","4","Democrat"
"5",5307,42,"","Higher degree",71889,1679406120292,1679406048403,"female","virus","unreliable","English","60d7d5dc074e8bc367732eb6","6419b3dbadf1d637500bbd92","6419aa88c17f2fd3af1504ac","figure out the root causes and address them. Is it drugs? Is it that people do not have jobs? what is the underlying issue and fix that","4","Democrat"
"6",5322,53,"","Graduated College",91649,1679406631231,1679406539582,"male","beast","unreliable","English","5acbd426e734400001da85e4","6419b5bcfb43c637475f0522","6419aa88c17f2fd3af1504ac","It would depend on the demographics especially income levels. More background is needed, but generally more policing and possibly more help for people. ","2","neither"
"7",5359,41,"vote democratic","Graduated College",239359,1679478906410,1679478667051,"male","beast","unreliable","english","5cbf5b488be75a0016b49758","641acf8587fd1db3ab60a312","6419aa88c17f2fd3af1504ac","hire more undercover police .hire more people that can educate the criminals that leading a productive way of life will be batter than going to jail.","1","Democrat"
"8",5293,27,"","Graduated College",170846,1679404822539,1679404651693,"female","beast","reliable","English","5df79c9c53b56e52d7bf97a8","6419ae64eb85a74d54a0d0ff","6419aa88c17f2fd3af1504ac","Addison needs to identify what type of crime and which neighborhoods are being impacted the most. The current statement seems like fear mongering and doesn't hint at any solutions. ","2","Democrat"
"9",5303,48,"","Graduated College",141754,1679405854866,1679405713112,"male","virus","unreliable","English","614a1d94af01496d0e613360","6419b28966ac4979ec3acdc2","6419aa88c17f2fd3af1504ac","I'm not sure there really is a problem. The person seems a bit unhinged and unreliable, and without more information, I can't really make a judgment about what needs to change. I suspect that more community spirit and services would help in just about any situation.","1","neither"
"10",5306,37,"","Higher degree",48427,1679406045255,1679405996828,"male","beast","reliable","English ","6102d5e6ff92a8dd0cce6b8f","6419b3a7d6119c5ba553433d","6419aa88c17f2fd3af1504ac","Add more police.","5","Republican"
"11",5316,32,"","Graduated High-school",111825,1679406451953,1679406340128,"male","virus","unreliable","English","628b8ef9ef5432197c27bbc9","6419b4fdb3949c6a7b32fd60","6419aa88c17f2fd3af1504ac","Increase the presence of police around the city","5","neither"
"12",5294,33,"","Graduated College",77157,1679405254075,1679405176918,"male","beast","unreliable","English","5c8d42e6c6eef0001abd2d94","6419b070e75775785bc44e31","6419aa88c17f2fd3af1504ac","Open his world view a little broader and see what areas of low crime are doing in order to reduce it.","4","Democrat"
"13",5299,24,"","Graduated High-school",168153,1679405691490,1679405523337,"female","beast","unreliable","English","60fdbcf4dd778cc956ecd586","6419b1bb15deab423f369381","6419aa88c17f2fd3af1504ac","Addison needs to invest in crime-prevention tactics, including working to help its citizens escape poverty.

","3","Democrat"
"14",5310,37,"","Graduated College",46699,1679406210332,1679406163633,"male","beast","reliable","English","5e833e342598d4053db08f1f","6419b450d3a1b73e508d0879","6419aa88c17f2fd3af1504ac","Have better policies of reporting crime and streetlights.","5","Democrat"
"15",5317,52,"Thank you.  ","Graduated College",91617,1679406504538,1679406412921,"male","beast","unreliable","English","63d4857d5c9e6f18b03027b3","6419b53f96e0e3ba893ace34","6419aa88c17f2fd3af1504ac","Review crime statistics data to see what types of crime are increasing, then implement measures aimed at reducing those specific types of criminal activity.  ","4","neither"
"16",5295,39,"thanks","Higher degree",42938,1679405313004,1679405270066,"male","virus","unreliable","english","5e93738e5156380617967010","6419b0cfcfbc8877d7150478","6419aa88c17f2fd3af1504ac","form a neighborhood watch","3","Republican"
"17",5304,50,"","Graduated College",61007,1679405858696,1679405797689,"male","beast","reliable","english","614e030c522a450e5351f896","6419b2df1a30a7e2feeac1d4","6419aa88c17f2fd3af1504ac","investigate the cause of the crime.","4","Democrat"
"18",5309,20,"","Graduated High-school",76833,1679406173527,1679406096694,"female","virus","reliable","","611bdf574d8d2d7ceadd4ff9","6419b403c12cba93cb260ba9","6419aa88c17f2fd3af1504ac","They could increase jobs or try to supply work for youth in order to keep people out of trouble and disincentivize crime.","4","neither"
"19",5320,24,"","Graduated College",91234,1679406545535,1679406454301,"female","beast","unreliable","English","62f81bd31e8faa5b87e6ddb8","6419b56b909c35f87b150483","6419aa88c17f2fd3af1504ac","They need to see what is causing the rampant increase and crime and find a solution to it","4","Democrat"
"20",5323,36,"","Higher degree",83051,1679406627244,1679406544193,"male","virus","unreliable","English","5f04797c88d91307286d6379","6419b5c9047ddb2701ac8fd2","6419aa88c17f2fd3af1504ac","Addison should work to identify the causes of the crimes being committed and work on helping solve those social problems.","3","neither"
"21",5297,28,"","Graduated High-school",91149,1679405526962,1679405435813,"male","beast","unreliable","English","5acb88eb5cd1050001627d9e","6419b172aab334553ef9c537","6419aa88c17f2fd3af1504ac","Police need to be placed at placed of high crime.","3","Democrat"
"22",5300,32,"","Graduated High-school",128618,1679405720885,1679405592267,"other","beast","reliable","English","6153a30c062f3ec39d5e2b8b","6419b20d4046b831bade16d6","6419aa88c17f2fd3af1504ac","Crime has been on the rise over the last three years almost everywhere, so Addison should focus on community outreach and education as well as improving access to resources and help to those in need of it. ","1","Democrat"
"23",5301,22,"","Graduated College",60255,1679405758834,1679405698579,"female","beast","unreliable","English","610acc01b58df647da9574bf","6419b278a2db5e200deb31c7","6419aa88c17f2fd3af1504ac","Maybe talk to the city counsel or the mayor at town hall.","6","Democrat"
"24",5313,21,"none","Graduated High-school",86326,1679406357146,1679406270820,"female","virus","unreliable","english","5f12f0a6da7448296725a476","6419b4b88a65946755801a96","6419aa88c17f2fd3af1504ac","to gather local people with similar opinions to make a statment","5","neither"
"25",5660,36,"","Graduated College",56503,1679483057105,1679483000602,"male","beast","reliable","English ","5f989f291028cb1a8b555969","641ae072a9aaba721549b975","6419aa88c17f2fd3af1504ac","More policing ","6","Democrat"
"26",5302,24,"","Graduated College",91901,1679405842120,1679405750219,"male","beast","unreliable","English ","6103049fc6f76dd9afd945a6","6419b1f027a61570916a3af5","6419aa88c17f2fd3af1504ac","It sounds like they have a bad problem","3","neither"
"27",5315,44,"","Graduated College",74611,1679406402373,1679406327762,"female","virus","unreliable","English","63f779382e81070cd6f77b5e","6419b4f28adb4694c982477e","6419aa88c17f2fd3af1504ac","It's impossible to say based on the information.  I would need to know what type of crime and who/what is being targeted.  There is no good answer based on what this person is saying.  ","3","neither"
"28",5326,40,"","Graduated College",83864,1679406702671,1679406618807,"male","virus","reliable","English","603e97154847faf7531b40b6","6419b6168baccf720d6b4b3a","6419aa88c17f2fd3af1504ac","Introduce more programs to help those who are impoverished. Introduce more mental health options for its citizens. Have a strong network of after-school programs for children. ","3","Democrat"
"29",5327,26,"","Graduated College",57277,1679406714452,1679406657175,"male","virus","reliable","english","5c17294778ee390001ab19e5","6419b63bd4312b9cb556e170","6419aa88c17f2fd3af1504ac","They need to step up law enforcement efforts particularly to fight violent crime. ","2","neither"
"30",5779,62,"I hope that the idea is not that the person's credibility is based on his appearance or use of language, because that would just be plain old judgmental bias.","Graduated College",256349,1679667308242,1679667051893,"male","beast","unreliable","English","5ca3d57fa29412001687031e","641daf63c29852a786d2b581","6419aa88c17f2fd3af1504ac","Addison needs to get more cops on the street because the thugs don't fear the authorities. They need to legislate stiffer penalties for violent crime and make sure that repeat offenders serve long sentences.  They need to make the punishment a deterrent to violent crime.  That means they need to make sure they elect judges who don't put violent criminals back on the street.  Together with enhanced law enforcement they can rid their community of these thugs.","5","Republican"
"31",5305,26,"","Graduated High-school",77526,1679405871079,1679405793553,"male","beast","unreliable","English","55cb7ae1fdf99b3c26ae4c6d","6419b2ddd4312b9cb556e115","6419aa88c17f2fd3af1504ac","They could increase policing in certain areas, they can also try to look at what types of crimes are occurring and try to stop it at the source, for example if there's a lot of theft because people are lower income they could increase social programs and try to improve their economy.","3","neither"
"32",5312,29,"","Graduated High-school",93529,1679406253671,1679406160142,"female","beast","reliable","English","63d7ed1d2f69f62f4b9719bd","6419b44b39261ef8032c5bc7","6419aa88c17f2fd3af1504ac","Make crimes punishable with no ""catch and realease"" If you commmit a crime you can't have bail","6","Republican"
"33",5318,31,"","Graduated College",98573,1679406519112,1679406420539,"female","beast","reliable","English","62d59a7b40c07da2c0a5b473","6419b54dcaedd1a20d2c5b31","6419aa88c17f2fd3af1504ac","Addison needs to look at the root causes of the crimes that are being committed in the city. Is there rampant inequality, high unemployment rates, and divisions among its citizens?","3","Democrat"
"34",5329,35,"","Graduated College",153367,1679406731771,1679406578404,"male","beast","unreliable","English","5a9771d6873cda0001dc955e","6419b5e02e5306c4ef6b4b5c","6419aa88c17f2fd3af1504ac","Be more aware of the times crimes happen and add more law enforcement around that time.","2","Democrat"
"35",5787,59,"none","Higher degree",625573,1679667686375,1679667060802,"male","beast","reliable","English","615ddab1e4f013092538b6c5","641daf6cbacd29a88dcd2397","6419aa88c17f2fd3af1504ac","Well, I sound a lot like current run democratic party run cities in the United states like, San Francisco CA, Portland Oregon, and Detroit Michigan or Chicago Illinois.  First I would get rid of of all the current leadership who cowed to terrorists/anarchists who decided it was a great idea to defund the police and did so.  Then I would elect/replace such leadership who have the heads on straight, and re-instate a new police force that is tough on crime, with a new city District Attorney (DA), that feels the same way. that is not an in bred woke miscreant, and has a solid record of prosecuting criminals and holds them responsible for the crimes they commit. ","6","Republican"
"36",5308,49,"Thank you!","Graduated High-school",241992,1679406147610,1679405905618,"male","virus","reliable","English","61fa92365719bc09cb8349bf","6419b34815819c2eff42ce45","6419aa88c17f2fd3af1504ac","In order to reduce crime, we must look at the root cause of what is causing the crime to begin with.  In some cases, violent crime can be prevented by increasing police presence in the community.  Response times are critical when situations escalate to become violent.  Increasing penalties for committing crimes can also be a deterrent.  ","6","Republican"
"37",5314,23,"","Graduated College",173052,1679406395691,1679406222639,"male","virus","unreliable","","5eb33aa7707f7e139357536b","6419b480270fe2df9c31dbdd","6419aa88c17f2fd3af1504ac","everyone should be aware about the crime.","7","Democrat"
"38",5340,20,"","Graduated College",235493,1679408369270,1679408133777,"male","beast","unreliable","English","611869f9306a8deb75864d71","6419bc002df615a85fe1b0fa","6419aa88c17f2fd3af1504ac","One way to start would be to increase policing, that might help with the immediate problem. However, providing education and job training opportunities can help reduce crime by providing individuals with the skills and resources they need to become productive members of society.","2","Democrat"
"39",5344,26,"","Graduated High-school",127501,1679478623360,1679478495859,"male","virus","reliable","","63f15c9f0d1299e4b42e167b","641aced76e9ad3916798b568","6419aa88c17f2fd3af1504ac","Crack down on harder punishment and install curfew ","5","Republican"
"40",5311,27,"","Graduated College",63283,1679406218681,1679406155398,"male","beast","reliable","English","537cc438fdf99b2274df9aae","6419b441045c718d2a857639","6419aa88c17f2fd3af1504ac","Arrest criminals and aid in social programs so people who may commit crimes do not need to do so.","3","neither"
"41",5335,27,"","Graduated College",93733,1679406835955,1679406742222,"male","beast","reliable","English ","63386db00f7528f25101593c","6419b68179e34c70dfd493fa","6419aa88c17f2fd3af1504ac","Reduce violent crime","4","Democrat"
"42",5338,21,"","Graduated High-school",94783,1679407446287,1679407351504,"female","beast","reliable","English","60ff14447c38fffbd9fd6554","6419b8ed2374c96e8d260b89","6419aa88c17f2fd3af1504ac","Addison needs to figure out what is the cause to the crime rising in the past three years, it can’t just be a coincidence. Find the cause, have the effect, and figure out a soultion.","6","Democrat"
"43",5341,24,"","Graduated High-school",122926,1679478555551,1679478432625,"male","beast","unreliable","English","628fb6914fc639e544d9f22f","641acea284aaf45c66afa9eb","6419aa88c17f2fd3af1504ac","Prevent violent people from committing crimes","3","Republican"
"44",5364,25,"","Graduated High-school",458740,1679479098773,1679478640033,"male","beast","reliable","English","5d16dd58686b190015ea4466","641acf6cbaf92b2e9e9fd1d5","6419aa88c17f2fd3af1504ac","He needs to find the root cause. ","7","Democrat"
"45",5319,29,"","Higher degree",52971,1679406533822,1679406480851,"female","beast","reliable","English","5ec3f446aa5afd2881e19363","6419b5899317fc1c391bb85a","6419aa88c17f2fd3af1504ac","Invest in education and social services. ","3","Democrat"
"46",5325,26,"","Graduated College",116089,1679406701338,1679406585249,"male","virus","unreliable","English","6400e50a193a6c4d6ebfd526","6419b5c29d5e144e712c5b7d","6419aa88c17f2fd3af1504ac","Petition his local government to take action. ","2","Republican"
"47",5332,31,"","Graduated High-school",62272,1679406779445,1679406717173,"female","virus","unreliable","english","5aeab6e39e185a0001b9e272","6419b677cd396d50897bca17","6419aa88c17f2fd3af1504ac","Determine what s causing the increase, then stop it.","5","Democrat"
"48",5337,59,"","Higher degree",137709,1679406866860,1679406729151,"female","virus","reliable","English","5a889897b093f80001a7f1e2","6419b67db557d2caacf9c51a","6419aa88c17f2fd3af1504ac","Find ways to help people with food, shelter, and mental health needs.  ","4","neither"
"49",5367,26,"No comments.","Graduated College",52597,1679479140492,1679479087895,"male","beast","unreliable","English","5dd48444dd9a7447d224cc71","641ad0b316d7afe6da57bd09","6419aa88c17f2fd3af1504ac","Find the balance between repression and prevention.","6","neither"
"50",5321,47,"","Graduated College",69795,1679406612482,1679406542687,"female","beast","reliable","English, Portuguese","5cbe17ed7d21cd0013e90fee","6419b5c947a19d0d71bbfea1","6419aa88c17f2fd3af1504ac","Increase policing patrol","3","neither"
"51",5333,20,"","Graduated High-school",97024,1679406783105,1679406686081,"female","beast","unreliable","English","60ff59d7750ec2538401a25c","6419b62b57b820dbe02f1c38","6419aa88c17f2fd3af1504ac","Implement programs that will help people get off the street by helping them find jobs or housing.","3","Democrat"
"52",5343,31,"","Graduated High-school",48071,1679478623528,1679478575457,"female","beast","unreliable","English","57683f1edaeef60001996bc3","641acf283985b6a5a19a8a64","6419aa88c17f2fd3af1504ac","They should make sure that things are monitored in the community and that law enforcement is ready and trained to deescalate and take action when necessary. ","3","Democrat"
"53",5348,24,"","Graduated College",38447,1679478779648,1679478741201,"male","beast","unreliable","","5e17945242fb0b000da71b21","641acf7a6dbaf1e71138612c","6419aa88c17f2fd3af1504ac","Provide more statistics on the crime rate and also use proper grammar.","2","neither"
"54",5365,18,"","Graduated High-school",70007,1679479099899,1679479029892,"male","beast","reliable","English","64185be3db3c4e0ea462d5e5","641ad0792363e60e0650e05b","6419aa88c17f2fd3af1504ac","To increase the aspects of receiving jobs and wealth whilst also better training police and offering places for people who need it to be rehabilitated 
","4","neither"
"55",5324,32,"","Graduated High-school",77637,1679406652301,1679406574664,"female","virus","reliable","English","60fce527a73c417eeb419e90","6419b5e780ffc82c38b9f595","6419aa88c17f2fd3af1504ac","Better training for police, fix up the city","2","neither"
"56",5352,42,"","Graduated High-school",170156,1679478739989,1679478569833,"male","beast","reliable","english","63d7cac4ba2a99b6e223d711","641acef461f6216b9b1be304","6419aa88c17f2fd3af1504ac","catch the crooks and keep them in jail ","6","Republican"
"57",5355,46,"na","Higher degree",100148,1679478805338,1679478705190,"male","beast","reliable","English","62acca0e028fea59c33bf2fe","641acfa693887525e8216664","6419aa88c17f2fd3af1504ac","Encourage community participation among it's citizens for the creation of a neighborhood watch. ","4","neither"
"58",5377,32,"None","Graduated College",131087,1679479439315,1679479308228,"male","beast","reliable","English","63d68e4f60c155f4f1fd9681","641ad0989df85cbd3bd02fa1","6419aa88c17f2fd3af1504ac","Institute a city police or security outfit to watch the city","6","Democrat"
"59",5328,36,"none","Graduated High-school",151142,1679406818637,1679406667495,"female","beast","reliable","English","607f56029f85d5ef811ff904","6419b5e2e5949e4b602f1c50","6419aa88c17f2fd3af1504ac","They could create community outreach programs to help people feel pride in the city that they live in. If they feel pride and a sense of community they may want to protect it and keep it crime free.","3","neither"
"60",5334,37,"","Higher degree",71563,1679406788516,1679406716953,"female","beast","unreliable","english","62e0314e341f3717a3c2e1f5","6419b674aa5832422756e104","6419aa88c17f2fd3af1504ac","Addison needs to increase police presence and have severe consequences for offenders.","2","Republican"
"61",5339,27,"","Graduated College",102711,1679408225348,1679408122637,"","beast","unreliable","english","5a553e07e0cf3d0001261df6","6419bbf639c0bf96440fff0a","6419aa88c17f2fd3af1504ac","Be stricter on repeat offenders, establish a mental health facility and have more cops patrolling. ","4","rather not say"
