"","submission_id","age","comments","education","experiment_duration","experiment_end_time","experiment_start_time","gender","metaphor","vignetteLength","languages","options","prolific_pid","prolific_session_id","prolific_study_id","qud","question","rating","solution","reliability","affiliation","response_category"
"1",4833,44,NA,"Graduated College",550526,1673616535563,1673615985037,"male","beast","long vignette","American",NA,"5dd3e69efd5b283c6548d6f2","63c15a68be4d45126befd0a4","63c152ade792e678e79b099e",NA,NA,NA,"Identify and reduce the factors that make people turn to crime. Increase social services. Unless this city is in the US, then we need to spend even more money on police and make sure every citizen over the age of 3 is armed at ALL times.","1","neither","both"
"2",4881,34,NA,"Higher degree",93100,1674230598593,1674230505493,"male","beast","long vignette","Chinese",NA,"636148b5197092753b0a5f20","63cabae305c04b25cb489c36","63c152ade792e678e79b099e",NA,NA,NA,"police force","6","neither","enforce"
"3",4830,20,NA,"Graduated High-school",60963,1673616101981,1673616041018,"male","virus","long vignette","English",NA,"60e8e38ff187e23507214533","63c15aa40372673373d68d72","63c152ade792e678e79b099e",NA,NA,NA,"Fund the police more","3","Republican","enforce"
"4",4836,44,NA,"Graduated College",186919,1673616979952,1673616793033,"male","beast","long vignette","English",NA,"5e88a95fe2eb06528a91ddf0","63c15d9072752e52a37d8608","63c152ade792e678e79b099e",NA,NA,NA,"Addison needs to implement a system where the police are connected with the community.  They can introduce a heavy but welcomed presence due to the relationships their force builds within the community. This will produce more visibility of law enforcement as well as a want to share information leading to a reduction in crime.","6","Republican","enforce"
"5",4832,40,"There were no sources or hard data.  That means the info is reliable.  Period.","Graduated College",85650,1673616336797,1673616251147,"male","beast","short vignette","English",NA,"5c65c3e3cd3764000144a322","63c15b71efbceee388ca22f2","63c152ade792e678e79b099e",NA,NA,NA,"More uncorrupt police and better social education policies","1","Democrat","both"
"6",4837,35,"It would have been helpful to know what actions the city's government leaders and the police force have taken to address the rise in crime.","Higher degree",221046,1673617017258,1673616796212,"male","virus","short vignette","English",NA,"5ea624b32b24666209c18941","63c15d97d0e7ebb10844f988","63c152ade792e678e79b099e",NA,NA,NA,"In my opinion, the city of Addison needs to involve its residents in helping tackle the problem of increasing violent crime. It needs to recruit citizen volunteers to help its police force out, by forming neighborhood vigilance, watch groups, etc. to try to get back control of the situation. The city can also invest in initiatives for youth training, providing employment opportunities, etc. to deter would-be criminals by giving them a purpose in life.","5","Republican","both"
"7",4834,48,NA,"Graduated College",92482,1673616687114,1673616594632,"female","beast","short vignette","English",NA,"5e1dfdf47d1115000cd36d7e","63c15ccd2148a4a838e44615","63c152ade792e678e79b099e",NA,NA,NA,"Institute neighborhood events/community building; build rapport between police and citizens","3","Democrat","reform"
"8",4829,50,NA,"Graduated High-school",57180,1673615920447,1673615863267,"male","beast","short vignette","english",NA,"5997b3f8d0bcd10001dd902a","63c159ed970f411bad26796d","63c152ade792e678e79b099e",NA,NA,NA,"more police","6","Democrat","enforce"
"9",4835,60,NA,"Graduated College",82386,1673616764712,1673616682326,"male","beast","short vignette","English",NA,"5b342c9da2982a0001dd9f25","63c15d2406707ad893fdf1ce","63c152ade792e678e79b099e",NA,NA,NA,"Organize the citizens into a Crime Watch.  Publicize types of crimes and how to avoid situations.  Determine who is doing the crimes and locking them up.","3","neither","enforce"
"10",4831,32,"No additional feedback","Graduated College",94009,1673616284487,1673616190478,"male","virus","short vignette","English",NA,"607dc630d2d30aa7e8699c23","63c15b3aa9a45248d6e88f5b","63c152ade792e678e79b099e",NA,NA,NA,"They need to introduce more policing and focus on community policing. They need to build up mental health centers and introduce more employment opportunities.","6","Democrat","both"
"11",4888,29,NA,"Higher degree",75231,1674230613429,1674230538198,"female","beast","short vignette","English",NA,"5f7d4a2c5db79d21c7d07240","63cabb058ab53ee4aee4ea9e","63c152ade792e678e79b099e",NA,NA,NA,"Addison needs to figure out what has caused the crime rate to increase in the past three years. The city needs to devote more resources to this problem.","3","Democrat","reform"
"12",4896,19,NA,"Graduated High-school",131549,1674230689583,1674230558034,"female","virus","short vignette","english",NA,"5f70ff16b9894a71cb8f5d91","63cabb18705569fb51a3392c","63c152ade792e678e79b099e",NA,NA,NA,"it would depend on a myriad of factors but i supose a quick fix would be a redoing of the potrol system and get more cops","2","Democrat","enforce"
"13",4899,31,NA,"Graduated High-school",82527,1674230692063,1674230609536,"male","beast","long vignette","english",NA,"5d8d8f8a7df28500133337d1","63cabb497f412c620fc08087","63c152ade792e678e79b099e",NA,NA,NA,"more police","7","neither","enforce"
"14",4918,44,NA,"Graduated College",74018,1674230806699,1674230732681,"female","beast","short vignette","English",NA,"637e1db1b7df746a1f8095db","63cabbb2fe8f5b5452c22292","63c152ade792e678e79b099e",NA,NA,NA,"Citizens band together","4","neither","reform"
"15",4828,51,NA,"Higher degree",138615,1673615742256,1673615603641,"female","beast","long vignette","English",NA,"5e7247f3be8fd016888bafac","63c158f01e5959de63ed28e0","63c152ade792e678e79b099e",NA,NA,NA,"Ensuring that the citizens of Addison are armed and know how to use their firearms would greatly reduce the crime rate. Criminals are bullies and they will not attack if they think their ""prey"" is armed and can fight back.","6","Republican","enforce"
"16",4879,28,NA,"Graduated College",33769,1674230527510,1674230493741,"female","virus","long vignette","English",NA,"6053ad542b81382607008fe2","63cabadab9f11f540c2c8a7e","63c152ade792e678e79b099e",NA,NA,NA,"Increase security measures","6","Democrat","enforce"
"17",4887,21,NA,"Graduated High-school",101109,1674230612788,1674230511679,"female","beast","short vignette","English",NA,"60fe0b8aad78fee4555a4f39","63cabaecb358cdf12febf950","63c152ade792e678e79b099e",NA,NA,NA,"There needs to be more police presence in neighborhoods with high crime. The city needs to spend more time investigating the crimes and putting those people away, since it is likely that the crimes are being committed by a small group of people.","5","Democrat","enforce"
"18",4897,30,NA,"Graduated College",47973,1674230689518,1674230641545,"female","beast","short vignette","english",NA,"5e0d6dee4f40fb4f60fc0494","63cabb6c590d74071a761f6c","63c152ade792e678e79b099e",NA,NA,NA,"Find out the reason why there is crime and then come up with a solution to that problem.","7","Democrat","reform"
"19",4905,30,NA,"Graduated College",64957,1674230720056,1674230655099,"male","beast","short vignette","english",NA,"632345e7359dbcdb66f3f154","63cabb777a33d13e0172f818","63c152ade792e678e79b099e",NA,NA,NA,"Flood the streets with police.","6","Republican","enforce"
"20",4906,68,"Formatting of survey not user-friendly.  The answers boxes are too light.","Higher degree",98707,1674230721059,1674230622352,"male","virus","short vignette","English",NA,"5deaa726df55eb1cc1b9474f","63cabb57d6d90ab9b535b311","63c152ade792e678e79b099e",NA,NA,NA,"More patrolling by police officers and security personnel.","5","Democrat","enforce"
"21",4885,47,"None.","Higher degree",65781,1674230612338,1674230546557,"female","virus","short vignette","English",NA,"5dcc27974b54778b69e62ec5","63cabb0a332b6265fb10b54b","63c152ade792e678e79b099e",NA,NA,NA,"Stricter enforcement and longer sentences will serve as a good deterrent to crime.","7","Republican","enforce"
"22",4880,41,NA,"Higher degree",70623,1674230582918,1674230512295,"female","virus","long vignette","English",NA,"5c7705950d75f00015f5fe10","63cabaec9298ac1afa489c57","63c152ade792e678e79b099e",NA,NA,NA,"Addison needs to add more officers to patrol the streets.","3","neither","enforce"
"23",4902,38,NA,"Graduated High-school",72508,1674230707669,1674230635161,"male","virus","long vignette","English",NA,"5c416ce07f81e900012b552c","63cabb664e6389de3535b329","63c152ade792e678e79b099e",NA,NA,NA,"Increase police force in areas where crimes seem to be committed the most.","7","neither","enforce"
"24",4903,31,NA,"Graduated College",69156,1674230718769,1674230649613,"male","virus","short vignette","English",NA,"5de9592f8d43d908baa05cc2","63cabb74dfcdd8646ce91c98","63c152ade792e678e79b099e",NA,NA,NA,"Increase Policing and make sure criminals are punished and not just released right away","6","neither","enforce"
"25",4884,37,"None","Higher degree",54716,1674230608227,1674230553511,"female","beast","short vignette","English",NA,"5bb6e39827fb5000013c8fe9","63cabb14af8088d3ee3fd1cd","63c152ade792e678e79b099e",NA,NA,NA,"It needs to look at the social and economic issues that are spurring the crime rise and address those.","7","Democrat","reform"
"26",4893,34,NA,"Higher degree",116445,1674230670804,1674230554359,"male","beast","short vignette","English",NA,"5ee5a7a87e2f6d2e11a172b4","63cabb13dfcdd8646ce91c8b","63c152ade792e678e79b099e",NA,NA,NA,"The city needs to devote more resources to the police.","4","neither","enforce"
"27",4907,45,NA,"Graduated College",75553,1674230745768,1674230670215,"male","virus","short vignette","English",NA,"6323f6da8ff5d9cd85b0ffc7","63cabb887e83b9d3ae25afb9","63c152ade792e678e79b099e",NA,NA,NA,"Invest in more security devices such as cameras and mobile recording towers.","6","Democrat","enforce"
"28",4908,23,NA,"Higher degree",39726,1674230748826,1674230709100,"male","beast","short vignette","English",NA,"5befb38bf4d94900011c6085","63cabbab880c4b7827defb04","63c152ade792e678e79b099e",NA,NA,NA,"Increase police presence","7","Democrat","enforce"
"29",4882,21,NA,"Graduated College",38496,1674230602003,1674230563507,"female","virus","short vignette","english",NA,"612993e12ec11a07dc1c38c4","63cabb1cbfb92c2a9adc1864","63c152ade792e678e79b099e",NA,NA,NA,"more police","6","Democrat","enforce"
"30",4886,52,NA,"Graduated College",63109,1674230612935,1674230549826,"female","virus","long vignette","English",NA,"626c97fd7c909c3ae9d5a5b2","63cabb11f7e5c566675c5e01","63c152ade792e678e79b099e",NA,NA,NA,"Make a curfew for residents.","6","Democrat","enforce"
"31",4894,42,NA,"Graduated College",117261,1674230674522,1674230557261,"female","beast","long vignette","English",NA,"5c364a99db7cf600012068a2","63cabb19da526c43473b948d","63c152ade792e678e79b099e",NA,NA,NA,"Yes, Addison needs to invest in its people. The root of most crime is lack of means to buy necessary items. Invest in social programs to make life easier on the residents so they don't resort to criminal activity.","5","Democrat","reform"
"32",4901,71,NA,"Graduated High-school",149240,1674230707934,1674230558694,"female","beast","short vignette","English",NA,"5beb715394bff800011db85c","63cabb11893c829ed672f800","63c152ade792e678e79b099e",NA,NA,NA,"There should be an oversight committee to evaluate increasing the size of the police force, also hold a town hall to educate residents on how to eliminate their vulnerability to crime.   Education seminars for educating youth and giving them chances to improve their lives rather than relying on crime should be implemented.","6","neither","both"
"33",4883,26,NA,"Graduated High-school",60360,1674230603680,1674230543320,"female","beast","long vignette","English",NA,"5c193ae6341a240001f80503","63cabb0c3fb59b3f533c101a","63c152ade792e678e79b099e",NA,NA,NA,"Addison needs stricter law enforcement and perhaps a neighborhood patrol program. The community needs to be engaged in making it a safer place as well.","4","neither","enforce"
"34",4892,30,NA,"Graduated High-school",70551,1674230660415,1674230589864,"female","beast","short vignette",NA,NA,"63bce1f5fd754309a47160d8","63cabb39193daf84668293d9","63c152ade792e678e79b099e",NA,NA,NA,"Investigate what is causing the crimes, the kind of crimes being committed, and provide services to mitigate that. Most problems can be solved by education, compassion, and de-escalation.","7","Democrat","reform"
"35",4919,21,NA,"Graduated High-school",114886,1674230811019,1674230696133,"female","beast","long vignette","english",NA,"5e4b4a44680f760668b9196d","63cabb9dbf25a53beefeee76","63c152ade792e678e79b099e",NA,NA,NA,"create more community programs to support youth, young adults, and vulnerable members of their community.  improve education, welfare programs","7","neither","reform"
"36",4920,35,NA,"Higher degree",137822,1674230825605,1674230687783,"female","beast","short vignette","English",NA,"5d2fb8f7034d7d000164bd18","63cabb9a7dfd53dc51c738ce","63c152ade792e678e79b099e",NA,NA,NA,"In order to reduce crime, Addison needs to help ex-offenders find secure living-wage employment.","4","Democrat","reform"
"37",4889,26,NA,"Graduated College",90643,1674230652788,1674230562145,"female","virus","long vignette","English",NA,"561df8af3d7fe8000a0f6347","63cabb1d5c086180cf761f7c","63c152ade792e678e79b099e",NA,NA,NA,"Better funding for programs to help poor people could help reduce crime in the city.","5","neither","reform"
"38",4890,23,NA,"Higher degree",90399,1674230658115,1674230567716,"female","beast","long vignette","English",NA,"6124111e24c3b19872a55318","63cabb211fe3238ecde91c89","63c152ade792e678e79b099e",NA,NA,NA,"Addison needs to invest in more public services that can reduce crime, such as mental health services, food assistance services, housing, etc.","4","Democrat","reform"
"39",4898,26,NA,"Higher degree",111585,1674230692976,1674230581391,"female","virus","short vignette","English",NA,"61146b55c0d8a78134afc566","63cabb23e5db82db6275ef93","63c152ade792e678e79b099e",NA,NA,NA,"Figure out the root cause of the crime. If it is rising poverty and inequality, Addison needs to invest more in the community. If it is community members committing the crime, Addison needs to focus on a restorative justice approach so that those members can actually be reintegrated into society.","5","Democrat","reform"
"40",4891,34,NA,"Graduated College",122965,1674230660237,1674230537272,"female","virus","short vignette","Tamil, Telugu",NA,"5f1d0a39104d425ff89ce91d","63cabb06ceab23d344f67780","63c152ade792e678e79b099e",NA,NA,NA,"More Security and strictly punishing those who are doing crimes, more surveillances","5","neither","enforce"
"41",4895,32,"None","Graduated College",70734,1674230659229,1674230588495,"female","beast","short vignette","English",NA,"61005b49f8382e2e24f00ef0","63cabb4c407aba0d50a3392b","63c152ade792e678e79b099e",NA,NA,NA,"Figure out who is commiting the crimes and find solutions to prevent these people from doing so.","7","Democrat","reform"
"42",4900,21,NA,"Graduated High-school",87087,1674230827635,1674230740548,"female","virus","long vignette",NA,NA,"6067bd3bf7a731c3055b5e31","63cabb50dfcdd8646ce91c91","63c152ade792e678e79b099e",NA,NA,NA,"Addison needs to join any communities that discourages crime and advertise to the city community about reducing crime and participate in any volunteering activities","4","neither","reform"
"43",4915,52,NA,"Graduated College",125696,1674230774170,1674230648474,"female","virus","short vignette","English",NA,"6107ed71be78b9890afacec4","63cabb7096d8e81222d79d08","63c152ade792e678e79b099e",NA,NA,NA,"They should have a larger police presence.  They should have concerned neighborhoods establish neighborhood watch patrols.  Perhaps a security guard in smaller strip malls.  Tougher jail sentences or fines for illegal activity.","4","Republican","enforce"
"44",4904,22,NA,"Graduated High-school",42760,1674230717212,1674230674452,"female","beast","long vignette","English",NA,"60fd5ba04080247b2712dacb","63cabb8e8414611605987784","63c152ade792e678e79b099e",NA,NA,NA,"There needs to be more cops","6","Democrat","enforce"
"45",4914,NA,NA,"Graduated College",90923,1674230777827,1674230686904,"female","beast","short vignette",NA,NA,"55ac22cafdf99b6de2fa7ee2","63cabb87bfb92c2a9adc186b","63c152ade792e678e79b099e",NA,NA,NA,"Addison needs to expand its' police force.","6","rather not say","enforce"
"46",4916,49,NA,"Graduated High-school",97062,1674230794807,1674230697745,"male","beast","short vignette","English",NA,"63039e7a47eae0111ee600a2","63cabba71f582f01a04ac05f","63c152ade792e678e79b099e",NA,NA,NA,"Increase law enforcement presence and community outreach.","5","Republican","enforce"
"47",4921,30,"No","Higher degree",110209,1674230835533,1674230725324,"female","virus","long vignette","Bulgarian, English",NA,"5e835d0bb7a9de0807acae68","63cabbbb7a33d13e0172f827","63c152ade792e678e79b099e",NA,NA,NA,"More protection and police.","5","rather not say","enforce"
"48",4909,23,NA,"Graduated High-school",112969,1674230750394,1674230637425,"male","virus","short vignette","English",NA,"6119b78af52ae7701780d110","63cabb5e72ecb0ff4ed414ac","63c152ade792e678e79b099e",NA,NA,NA,"Increase spending on education","5","neither","reform"
"49",4913,41,NA,"Graduated College",74332,1674230773618,1674230699286,"male","virus","short vignette",NA,NA,"632a38862027096ff709ecd2","63cabba6e46f2ec15af6938d","63c152ade792e678e79b099e",NA,NA,NA,"More after school programs for teens","7","Democrat","reform"
"50",4910,19,NA,"Graduated High-school",31244,1674230755846,1674230724602,"male","virus","short vignette","English",NA,"6314d97aa02af651ea1a9591","63cabbbb735c7ccb13e4ea97","63c152ade792e678e79b099e",NA,NA,NA,"Better schools and education","6","Democrat","reform"
"51",4911,45,NA,"Graduated College",64202,1674230766527,1674230702325,"female","beast","short vignette","englisg",NA,"5e88fe6f9fb1af0009d1294a","63cabba47a6e0f9bfec080b4","63c152ade792e678e79b099e",NA,NA,NA,"nwighborhood patrols","4","Democrat","neither"
"52",4912,44,"... and healthcare and public transit and social safety net and police that don't kill people on the regular","Graduated College",88080,1674230768161,1674230680081,"male","virus","short vignette","English",NA,"62dea258fadef5f0a9f1af86","63cabb93f16342e2e7adb7ee","63c152ade792e678e79b099e",NA,NA,NA,"UBI and rent control","4","Democrat","reform"
"53",4917,38,NA,"Graduated College",182258,1674230806003,1674230623745,"male","virus","long vignette","English",NA,"60c35c4fabca21fb4a0c9f17","63cabb598eae0e7f9077e11f","63c152ade792e678e79b099e",NA,NA,NA,"Higher police patrol and enforce stricter punishments for crimes.","4","neither","enforce"
"54",4923,19,NA,"Graduated High-school",146585,1674230849920,1674230703335,"male","virus","short vignette","English",NA,"62e185310b9f424dae8113a9","63cabba81db102183febf986","63c152ade792e678e79b099e",NA,NA,NA,"The town needs to find ways to discourage anti-social behavior, and fund initiatives that would decrease poverty in the town. I would suggest funding after school programs for at risk youth, and strengthening the school system. The rule of law through the police force should also be communicated well to the residents.","6","Democrat","reform"
"55",4922,45,"Thank you.","Graduated College",277647,1674230837041,1674230559394,"female","virus","short vignette","English",NA,"60bc18bb8b971280ef13060c","63cabb0ce5db82db6275ef91","63c152ade792e678e79b099e",NA,NA,NA,"Maybe to help the crime rate in Addison there needs to be more patrolling by officers and there should be educational crime prevention and recreational programs for the youth of this city. By focusing on the youth of the city in a positive way perhaps crime can be prevented in a way. Maybe a type of neighborhood watch program might encourage the citizens of this city too.","6","neither","both"
"56",4924,29,NA,"Graduated College",145458,1674230873482,1674230728024,"male","virus","long vignette",NA,NA,"60b788ecd24b27bb39298936","63cabbb98737109470a054f1","63c152ade792e678e79b099e",NA,NA,NA,"Probably address other problems in the city, like finding people work, providing mental health care, things like that that are known to increase crime when neglected","1","Democrat","reform"
"57",4925,52,NA,"Graduated High-school",165296,1674230886396,1674230721100,"female","beast","long vignette","English",NA,"6366ccdb9a9394035a18f965","63cabbb9193daf84668293e8","63c152ade792e678e79b099e",NA,NA,NA,"Focusing on criminal justice, social programs, and strengthening relationships","7","Democrat","both"
"58",4926,65,NA,"Graduated College",117074,1674230885552,1674230768478,"female","virus","long vignette","English",NA,"5e3d679eaa341501c1a5a90b","63cabbe6fc529c9349635f36","63c152ade792e678e79b099e",NA,NA,NA,"Sounds like organized crime or gangs have taken over the city. The police departments and DEA should be given more funding to fight back on crime.","5","neither","enforce"
"59",4927,40,NA,"Graduated College",327079,1674230895970,1674230568891,"female","beast","long vignette","English",NA,"6146b99c248d3ffdaa898d36","63cabb23566c87cdb335b2be","63c152ade792e678e79b099e",NA,NA,NA,"There needs to be more police presence in problematic neighborhoods to deter crime. Youth programs are needed to help educate young people, stimulate their minds, encourage new hobbies and interests, and to discourage unlawful activities during free time.","5","neither","both"
