submission_id,age,comments,education,experiment_duration,experiment_end_time,experiment_start_time,gender,group,languages,options,prolific_pid,prolific_session_id,prolific_study_id,qud,question,rating,response,responseTime,task
5054,19,,Graduated High-school,45769,1675354798142,1675354752373,male,"beast, long vignette",English,,6361490f59e166acd453daa8,63dbe27739ad5f6c797e09aa,63dbcb938be3d3d1cb0dacfc,,,,More police,21716,solution
5054,19,,Graduated High-school,45769,1675354798142,1675354752373,male,"beast, long vignette",English,,6361490f59e166acd453daa8,63dbe27739ad5f6c797e09aa,63dbcb938be3d3d1cb0dacfc,,,,5,5067,reliability
5054,19,,Graduated High-school,45769,1675354798142,1675354752373,male,"beast, long vignette",English,,6361490f59e166acd453daa8,63dbe27739ad5f6c797e09aa,63dbcb938be3d3d1cb0dacfc,,,,Republican,2449,affiliation
4833,44,,Graduated College,550526,1673616535563,1673615985037,male,"beast, long vignette",American,,5dd3e69efd5b283c6548d6f2,63c15a68be4d45126befd0a4,63c152ade792e678e79b099e,,,,"Identify and reduce the factors that make people turn to crime. Increase social services. Unless this city is in the US, then we need to spend even more money on police and make sure every citizen over the age of 3 is armed at ALL times.",425416,solution
4833,44,,Graduated College,550526,1673616535563,1673615985037,male,"beast, long vignette",American,,5dd3e69efd5b283c6548d6f2,63c15a68be4d45126befd0a4,63c152ade792e678e79b099e,,,,1,6430,reliability
4833,44,,Graduated College,550526,1673616535563,1673615985037,male,"beast, long vignette",American,,5dd3e69efd5b283c6548d6f2,63c15a68be4d45126befd0a4,63c152ade792e678e79b099e,,,,neither,2554,affiliation
4881,34,,Higher degree,93100,1674230598593,1674230505493,male,"beast, long vignette",Chinese,,636148b5197092753b0a5f20,63cabae305c04b25cb489c36,63c152ade792e678e79b099e,,,,police force,51457,solution
4881,34,,Higher degree,93100,1674230598593,1674230505493,male,"beast, long vignette",Chinese,,636148b5197092753b0a5f20,63cabae305c04b25cb489c36,63c152ade792e678e79b099e,,,,6,6286,reliability
4881,34,,Higher degree,93100,1674230598593,1674230505493,male,"beast, long vignette",Chinese,,636148b5197092753b0a5f20,63cabae305c04b25cb489c36,63c152ade792e678e79b099e,,,,neither,3775,affiliation
4830,20,,Graduated High-school,60963,1673616101981,1673616041018,male,"virus, long vignette",English,,60e8e38ff187e23507214533,63c15aa40372673373d68d72,63c152ade792e678e79b099e,,,,Fund the police more,30823,solution
4830,20,,Graduated High-school,60963,1673616101981,1673616041018,male,"virus, long vignette",English,,60e8e38ff187e23507214533,63c15aa40372673373d68d72,63c152ade792e678e79b099e,,,,3,3748,reliability
4830,20,,Graduated High-school,60963,1673616101981,1673616041018,male,"virus, long vignette",English,,60e8e38ff187e23507214533,63c15aa40372673373d68d72,63c152ade792e678e79b099e,,,,Republican,1861,affiliation
4836,44,,Graduated College,186919,1673616979952,1673616793033,male,"beast, long vignette",English,,5e88a95fe2eb06528a91ddf0,63c15d9072752e52a37d8608,63c152ade792e678e79b099e,,,,Addison needs to implement a system where the police are connected with the community.  They can introduce a heavy but welcomed presence due to the relationships their force builds within the community. This will produce more visibility of law enforcement as well as a want to share information leading to a reduction in crime.,155696,solution
4836,44,,Graduated College,186919,1673616979952,1673616793033,male,"beast, long vignette",English,,5e88a95fe2eb06528a91ddf0,63c15d9072752e52a37d8608,63c152ade792e678e79b099e,,,,6,4254,reliability
4836,44,,Graduated College,186919,1673616979952,1673616793033,male,"beast, long vignette",English,,5e88a95fe2eb06528a91ddf0,63c15d9072752e52a37d8608,63c152ade792e678e79b099e,,,,Republican,5727,affiliation
4832,40,There were no sources or hard data.  That means the info is reliable.  Period.,Graduated College,85650,1673616336797,1673616251147,male,"beast, short vignette",English,,5c65c3e3cd3764000144a322,63c15b71efbceee388ca22f2,63c152ade792e678e79b099e,,,,More uncorrupt police and better social education policies,31711,solution
4832,40,There were no sources or hard data.  That means the info is reliable.  Period.,Graduated College,85650,1673616336797,1673616251147,male,"beast, short vignette",English,,5c65c3e3cd3764000144a322,63c15b71efbceee388ca22f2,63c152ade792e678e79b099e,,,,1,4544,reliability
4832,40,There were no sources or hard data.  That means the info is reliable.  Period.,Graduated College,85650,1673616336797,1673616251147,male,"beast, short vignette",English,,5c65c3e3cd3764000144a322,63c15b71efbceee388ca22f2,63c152ade792e678e79b099e,,,,Democrat,2626,affiliation
4837,35,It would have been helpful to know what actions the city's government leaders and the police force have taken to address the rise in crime.,Higher degree,221046,1673617017258,1673616796212,male,"virus, short vignette",English,,5ea624b32b24666209c18941,63c15d97d0e7ebb10844f988,63c152ade792e678e79b099e,,,,"In my opinion, the city of Addison needs to involve its residents in helping tackle the problem of increasing violent crime. It needs to recruit citizen volunteers to help its police force out, by forming neighborhood vigilance, watch groups, etc. to try to get back control of the situation. The city can also invest in initiatives for youth training, providing employment opportunities, etc. to deter would-be criminals by giving them a purpose in life.",125714,solution
4837,35,It would have been helpful to know what actions the city's government leaders and the police force have taken to address the rise in crime.,Higher degree,221046,1673617017258,1673616796212,male,"virus, short vignette",English,,5ea624b32b24666209c18941,63c15d97d0e7ebb10844f988,63c152ade792e678e79b099e,,,,5,7410,reliability
4837,35,It would have been helpful to know what actions the city's government leaders and the police force have taken to address the rise in crime.,Higher degree,221046,1673617017258,1673616796212,male,"virus, short vignette",English,,5ea624b32b24666209c18941,63c15d97d0e7ebb10844f988,63c152ade792e678e79b099e,,,,Republican,1324,affiliation
4834,48,,Graduated College,92482,1673616687114,1673616594632,female,"beast, short vignette",English,,5e1dfdf47d1115000cd36d7e,63c15ccd2148a4a838e44615,63c152ade792e678e79b099e,,,,Institute neighborhood events/community building; build rapport between police and citizens,58532,solution
4834,48,,Graduated College,92482,1673616687114,1673616594632,female,"beast, short vignette",English,,5e1dfdf47d1115000cd36d7e,63c15ccd2148a4a838e44615,63c152ade792e678e79b099e,,,,3,10347,reliability
4834,48,,Graduated College,92482,1673616687114,1673616594632,female,"beast, short vignette",English,,5e1dfdf47d1115000cd36d7e,63c15ccd2148a4a838e44615,63c152ade792e678e79b099e,,,,Democrat,1642,affiliation
4829,50,,Graduated High-school,57180,1673615920447,1673615863267,male,"beast, short vignette",english,,5997b3f8d0bcd10001dd902a,63c159ed970f411bad26796d,63c152ade792e678e79b099e,,,,more police ,22090,solution
4829,50,,Graduated High-school,57180,1673615920447,1673615863267,male,"beast, short vignette",english,,5997b3f8d0bcd10001dd902a,63c159ed970f411bad26796d,63c152ade792e678e79b099e,,,,6,4875,reliability
4829,50,,Graduated High-school,57180,1673615920447,1673615863267,male,"beast, short vignette",english,,5997b3f8d0bcd10001dd902a,63c159ed970f411bad26796d,63c152ade792e678e79b099e,,,,Democrat,3039,affiliation
4835,60,,Graduated College,82386,1673616764712,1673616682326,male,"beast, short vignette",English,,5b342c9da2982a0001dd9f25,63c15d2406707ad893fdf1ce,63c152ade792e678e79b099e,,,,Organize the citizens into a Crime Watch.  Publicize types of crimes and how to avoid situations.  Determine who is doing the crimes and locking them up.,59615,solution
4835,60,,Graduated College,82386,1673616764712,1673616682326,male,"beast, short vignette",English,,5b342c9da2982a0001dd9f25,63c15d2406707ad893fdf1ce,63c152ade792e678e79b099e,,,,3,4850,reliability
4835,60,,Graduated College,82386,1673616764712,1673616682326,male,"beast, short vignette",English,,5b342c9da2982a0001dd9f25,63c15d2406707ad893fdf1ce,63c152ade792e678e79b099e,,,,neither,2178,affiliation
4831,32,No additional feedback ,Graduated College,94009,1673616284487,1673616190478,male,"virus, short vignette",English ,,607dc630d2d30aa7e8699c23,63c15b3aa9a45248d6e88f5b,63c152ade792e678e79b099e,,,,They need to introduce more policing and focus on community policing. They need to build up mental health centers and introduce more employment opportunities.,58394,solution
4831,32,No additional feedback ,Graduated College,94009,1673616284487,1673616190478,male,"virus, short vignette",English ,,607dc630d2d30aa7e8699c23,63c15b3aa9a45248d6e88f5b,63c152ade792e678e79b099e,,,,6,7424,reliability
4831,32,No additional feedback ,Graduated College,94009,1673616284487,1673616190478,male,"virus, short vignette",English ,,607dc630d2d30aa7e8699c23,63c15b3aa9a45248d6e88f5b,63c152ade792e678e79b099e,,,,Democrat,2911,affiliation
4888,29,,Higher degree,75231,1674230613429,1674230538198,female,"beast, short vignette",English,,5f7d4a2c5db79d21c7d07240,63cabb058ab53ee4aee4ea9e,63c152ade792e678e79b099e,,,,Addison needs to figure out what has caused the crime rate to increase in the past three years. The city needs to devote more resources to this problem. ,46907,solution
4888,29,,Higher degree,75231,1674230613429,1674230538198,female,"beast, short vignette",English,,5f7d4a2c5db79d21c7d07240,63cabb058ab53ee4aee4ea9e,63c152ade792e678e79b099e,,,,3,7132,reliability
4888,29,,Higher degree,75231,1674230613429,1674230538198,female,"beast, short vignette",English,,5f7d4a2c5db79d21c7d07240,63cabb058ab53ee4aee4ea9e,63c152ade792e678e79b099e,,,,Democrat,2384,affiliation
4896,19,,Graduated High-school,131549,1674230689583,1674230558034,female,"virus, short vignette",english,,5f70ff16b9894a71cb8f5d91,63cabb18705569fb51a3392c,63c152ade792e678e79b099e,,,,it would depend on a myriad of factors but i supose a quick fix would be a redoing of the potrol system and get more cops,99473,solution
4896,19,,Graduated High-school,131549,1674230689583,1674230558034,female,"virus, short vignette",english,,5f70ff16b9894a71cb8f5d91,63cabb18705569fb51a3392c,63c152ade792e678e79b099e,,,,2,6064,reliability
4896,19,,Graduated High-school,131549,1674230689583,1674230558034,female,"virus, short vignette",english,,5f70ff16b9894a71cb8f5d91,63cabb18705569fb51a3392c,63c152ade792e678e79b099e,,,,Democrat,1784,affiliation
4899,31,,Graduated High-school,82527,1674230692063,1674230609536,male,"beast, long vignette",english,,5d8d8f8a7df28500133337d1,63cabb497f412c620fc08087,63c152ade792e678e79b099e,,,,more police,38628,solution
4899,31,,Graduated High-school,82527,1674230692063,1674230609536,male,"beast, long vignette",english,,5d8d8f8a7df28500133337d1,63cabb497f412c620fc08087,63c152ade792e678e79b099e,,,,7,5444,reliability
4899,31,,Graduated High-school,82527,1674230692063,1674230609536,male,"beast, long vignette",english,,5d8d8f8a7df28500133337d1,63cabb497f412c620fc08087,63c152ade792e678e79b099e,,,,neither,4508,affiliation
4918,44,,Graduated College,74018,1674230806699,1674230732681,female,"beast, short vignette",English,,637e1db1b7df746a1f8095db,63cabbb2fe8f5b5452c22292,63c152ade792e678e79b099e,,,,Citizens band together,26853,solution
4918,44,,Graduated College,74018,1674230806699,1674230732681,female,"beast, short vignette",English,,637e1db1b7df746a1f8095db,63cabbb2fe8f5b5452c22292,63c152ade792e678e79b099e,,,,4,5066,reliability
4918,44,,Graduated College,74018,1674230806699,1674230732681,female,"beast, short vignette",English,,637e1db1b7df746a1f8095db,63cabbb2fe8f5b5452c22292,63c152ade792e678e79b099e,,,,neither,3241,affiliation
4828,51,,Higher degree,138615,1673615742256,1673615603641,female,"beast, long vignette",English,,5e7247f3be8fd016888bafac,63c158f01e5959de63ed28e0,63c152ade792e678e79b099e,,,,"Ensuring that the citizens of Addison are armed and know how to use their firearms would greatly reduce the crime rate. Criminals are bullies and they will not attack if they think their ""prey"" is armed and can fight back. ",107345,solution
4828,51,,Higher degree,138615,1673615742256,1673615603641,female,"beast, long vignette",English,,5e7247f3be8fd016888bafac,63c158f01e5959de63ed28e0,63c152ade792e678e79b099e,,,,6,4410,reliability
4828,51,,Higher degree,138615,1673615742256,1673615603641,female,"beast, long vignette",English,,5e7247f3be8fd016888bafac,63c158f01e5959de63ed28e0,63c152ade792e678e79b099e,,,,Republican,2592,affiliation
4879,28,,Graduated College,33769,1674230527510,1674230493741,female,"virus, long vignette",English,,6053ad542b81382607008fe2,63cabadab9f11f540c2c8a7e,63c152ade792e678e79b099e,,,,Increase security measures,17418,solution
4879,28,,Graduated College,33769,1674230527510,1674230493741,female,"virus, long vignette",English,,6053ad542b81382607008fe2,63cabadab9f11f540c2c8a7e,63c152ade792e678e79b099e,,,,6,4339,reliability
4879,28,,Graduated College,33769,1674230527510,1674230493741,female,"virus, long vignette",English,,6053ad542b81382607008fe2,63cabadab9f11f540c2c8a7e,63c152ade792e678e79b099e,,,,Democrat,1193,affiliation
4887,21,,Graduated High-school,101109,1674230612788,1674230511679,female,"beast, short vignette",English,,60fe0b8aad78fee4555a4f39,63cabaecb358cdf12febf950,63c152ade792e678e79b099e,,,,"There needs to be more police presence in neighborhoods with high crime. The city needs to spend more time investigating the crimes and putting those people away, since it is likely that the crimes are being committed by a small group of people.",72188,solution
4887,21,,Graduated High-school,101109,1674230612788,1674230511679,female,"beast, short vignette",English,,60fe0b8aad78fee4555a4f39,63cabaecb358cdf12febf950,63c152ade792e678e79b099e,,,,5,5098,reliability
4887,21,,Graduated High-school,101109,1674230612788,1674230511679,female,"beast, short vignette",English,,60fe0b8aad78fee4555a4f39,63cabaecb358cdf12febf950,63c152ade792e678e79b099e,,,,Democrat,1610,affiliation
4897,30,,Graduated College,47973,1674230689518,1674230641545,female,"beast, short vignette",english,,5e0d6dee4f40fb4f60fc0494,63cabb6c590d74071a761f6c,63c152ade792e678e79b099e,,,,Find out the reason why there is crime and then come up with a solution to that problem. ,26951,solution
4897,30,,Graduated College,47973,1674230689518,1674230641545,female,"beast, short vignette",english,,5e0d6dee4f40fb4f60fc0494,63cabb6c590d74071a761f6c,63c152ade792e678e79b099e,,,,7,3435,reliability
4897,30,,Graduated College,47973,1674230689518,1674230641545,female,"beast, short vignette",english,,5e0d6dee4f40fb4f60fc0494,63cabb6c590d74071a761f6c,63c152ade792e678e79b099e,,,,Democrat,1451,affiliation
4905,30,,Graduated College,64957,1674230720056,1674230655099,male,"beast, short vignette",english,,632345e7359dbcdb66f3f154,63cabb777a33d13e0172f818,63c152ade792e678e79b099e,,,,Flood the streets with police.,35780,solution
